date,event,role,member_name,member_id
2024-06-10,Domingo,Bateria,Bruno Costa,2
2024-06-10,Domingo,Baixo,Carlos Dias,3
2024-06-10,Domingo,Guitarra,Carlos Dias,3
2024-06-10,Domingo,Vocal,Eduardo Lima,5
2024-10-13,Domingo,Vocal,Ana Silva,1
2024-10-13,Domingo,Bateria,Bruno Costa,2
2024-10-13,Domingo,Baixo,Carlos Dias,3
2024-10-13,Domingo,Guitarra,Carlos Dias,3
2024-10-20,Domingo,Vocal,Ana Silva,1
2024-10-20,Domingo,Bateria,Bruno Costa,2
2024-10-20,Domingo,Baixo,Carlos Dias,3
2024-10-20,Domingo,Guitarra,Carlos Dias,3
2024-10-27,Domingo,Bateria,Bruno Costa,2
2024-10-27,Domingo,Baixo,Carlos Dias,3
2024-10-27,Domingo,Guitarra,Carlos Dias,3
2024-10-27,Domingo,Vocal,Eduardo Lima,5
